S4TAX_NFSE_001	Cadastro de categorias de nota NFS-e	Cadastro de categorias de nota NFS-e
S4TAX_NFSE_002	Valores customizados do item NFS-e	Valores customizados do item NFS-e
S4TAX_NFSE_003	Valores customizados da filial NFS-e	Valores customizados da filial NFS-e
S4TAX_NFSE_004	Impostos NFS-e definidos na pricing	Impostos NFS-e definidos na pricing
S4TAX_NFSE_005	Intervalo de numeração para RPS NFSe	Intervalo de numeração para RPS NFSe
S4TAX_NFSE_006	Configuração Filial -> Município	Configuração Filial -> Município
S4TAX_NFSE_007	Motivos de cancelamento NFS-e	Motivos de cancelamento NFS-e
S4TAX_NFSE_008	Tipos de impostos NFS-e	Tipos de impostos NFS-e
S4TAX_NFSE_009	Municípios com emissão por arquivo	Municípios com emissão por arquivo
S4TAX_NFSE_010	Configurações default NFse	Configurações default NFse
S4TAX_NFSE_011	Monitor de NFS-e	Monitor de NFS-e
S4TAX_NFSE_012	Dashboard para documentos NFS-e	Dashboard para documentos NFS-e
S4TAX_NFSE_013	Editor de dados para documentos NFSe	Editor de dados para documentos NFSe
S4TAX_NFSE_MONITOR	Monitor de NFS-e	Monitor de NFS-e
